,,,,,,,,,,,,,,,
,Points de Ramassage ,,Localisation Coordonnées GPS,,,n min,n max,temps d'arrivée,temps de départ,Population,Ligne,Remarque,,Code,Signification
,Oued romane fleuriste,,"36,7422417, 2,9948409",,,0,1,7h15,7h15,,Oued romane, ,,G,Gendarme
,Arrêt de bus sahraoui,,"36,7461768, 2,9978604",,,6,6,7h20,7h20,,Oued romane, ,,S,Stagiaire
,Rond point ain allah,,"36,7507444, 2,9930777",,,3,3,7h25,7h25,,Oued romane, ,,M,Personnel de ménage
,Bois des cars,,"36,7542342, 2,9808777",,,2,3,7h27,7h27,S1,Oued romane, ,,P,Personnel du ministere de l'industrie pharmaceutique
,Intersection,,"36,7541839, 2,9728183",,,1,1,7h29,7h29,,Oued romane, ,,E,Enfants de creche
,Quds,,"36,7591638, 2,9632784",,,2,3,7h31,7h31,,Oued romane, ,,V,Personnel véhiculé
,Tribunal,,"36,7586221, 2,9597311",,,2,2,7h33,7h33,,Oued romane, ,,B,Personnel de la banque
,Ammara,,"36,7572202, 2,9535031",,,1,1,7h35,7h35,,Oued romane, ,,C ,Personnel de la cantine
,CFPA,,"36,7616388, 2,9524634",,,1,2,7h37,7h37,S1,Oued romane, ,,A,Apprenti
,Cimetière garidi,,"36,7255707, 3,0714411",,,2,3,7h00,7h00,"G1, S1",Lot michel, ,,N,Missionnaire
,Rond point jolie vue,,"36,7221314, 3,0791431",,,2,3,7h05,7h05,G1 ,Lot michel, ,,,
,Lycée kateb Yacine,,"36,7243404, 3,0846262",,,1,1,7h10,7h10,,Lot michel, ,,,
,La provale 1,,"36,7207203, 3,0926597",,,1,1,7h11,7h11,,Lot michel, ,,,
,La provale 2,,"36,7200750, 3,0933031",,,2,2,7h12,7h12,,Lot michel, ,,,
,Poste,,"36,7205550, 3,0963914",,,1,1,7h13,7h13,,Lot michel, ,,,
,La placette,,"36,7208495, 3,0999181",,,1,1,7h13,7h13,,Lot michel, ,,,
,Centre de formation setram,,"36,7234359, 3,1009706",,,1,1,7h15,7h15,,Lot michel, ,,,
,Stade,,"36,7292804, 3,0895296",,,1,1,7h17,7h17,,Lot michel, ,,,
,Ens,,"36,7297678, 3,0751597",,,1,1,7h20,7h20,,Lot michel, ,,,
,Arrêt said hamdine,,"36,7340214, 3,0365543",,,2,2,7h30,7h30,,Lot michel, ,,,
,Ben aknoun,,"36,7518525, 3,0056308",,,2,2,7h40,7h40,,Lot michel, ,,,
,Hôpital mouzaia,,"36,4679517, 2,6869089",,,2,2,6h00,6h00,,Blida, ,,,
,Protection civile,,"36,4617824, 2,7479640",,,2,2,6h10,6h10,,Blida, ,,,
,Mosquée Tarek Ibn ziad,,"36,4455312, 2,7493149",,,1,1,6h20,6h20,,Blida, ,,,
,Rond point driouech,,"36,4636281, 2,7693325",,,1,1,6h30,6h30,G1,Blida, ,,,
,Cité driouech,,"36,4561223, 2,7762033",,,2,2,6h35,6h35,,Blida, ,,,
,Pompe à essence,,"36,4721890, 2,8157612",,,1,1,6h40,6h40,,Blida, ,,,
,Poste bab errahba,,"36,4671940, 2,8311678",,,2,2,6h45,6h45,,Blida, ,,,
,Hôpital,,"36,4852163, 2,8328419",,,1,1,6h50,6h50,,Blida, ,,,
,Boulevard 20 mètres,,"36,4784343, 2,8191287",,,1,1,6h55,6h55,,Blida, ,,,
,Rond point sidi Abdelkader,,"36,4814984, 2,8099599",,,2,2,6h57,6h57,,Blida, ,,,
,Descente du pont,,"36,4889518, 2,8228074",,,2,2,7h00,7h00,G1,Blida, ,,,
,Stade tchaker,,"36,4880793, 2,8495242",,,1,1,7h05,7h05,,Blida, ,,,
,Ouled yaich poste,,"36,4934336, 2,8580174",,,3,3,7h10,7h10,,Blida, ,,,
,Ben fares,,"36,4960847, 2,8507382",,,1,1,7h15,7h15,,Blida, ,,,
,Rond point beni merad,,"36,5234075, 2,8620967",,,3,3,7h20,7h20,,Blida, ,,,
,Gourouaou,,"36,5121094, 2,8175258",,,1,1,7h25,7h25,,Blida, ,,,
,Cem youssef,,"36,5681317, 3,1698688",,,1,1,6h15,6h15,,Larbaa, ,,,
,N8,,"36,5586548, 3,1593338",,,1,1,6h20,6h20,,Larbaa, ,,,
,5 juillet,,"36,5526403, 3,1558935",,,2,2,6h25,6h25,,Larbaa, ,,,
,Bendali,,"36,5756910, 3,1373014",,,1,1,6h35,6h35,,Larbaa, ,,,
,Sidi moussa,,"36,6043625, 3,0894693",,,2,2,6h40,6h40,,Larbaa, ,,,
,Dhimat,,"36,6197308, 3,1074364",,,1,1,6h50,6h50,,Larbaa, ,,,
,Ben talha,,"36,6505897, 3,0860082",,,2,2,7h00,7h00,G2,Larbaa, ,,,
,Baraki,,"36,6637518, 3,0933605",,,2,2,7h05,7h05,G2,Larbaa, ,,,
,Baraki daira,,"36,6680981, 3,0957295",,,2,2,7h06,7h06,,Larbaa, ,,,
,forsan,,"36,6747180, 3,0908124",,,4,4,7h10,7h10,M1,Larbaa, ,,,
,baba ali station de bus,,"36,6722163, 3,0493961",,,3,3,7h15,7h15,,Larbaa, ,,,
,Haouch lgazouz,,"36,6589629, 3,0081262",,,2,2,7h25,7h25,,Larbaa, ,,,
,Golf  k luxe ptt,,"36,7438626759495, 3,0507917678712304",,,2,2,7h05,7h05,,Salembier, ,,,
,Rond point presidence,,"36,7471711, 3,0508327",,,1,3,7h08,7h08,,Salembier, ,,,
,Agence Nationale des Activités Minières,,"36,7476872, 3,0542425
",,,1,1,7h11,7h11,,Salembier, ,,,
,Saada clinique,,"36,7442992, 3,0598855
",,,1,1,7h16,7h16,,Salembier, ,,,
,Serir rond point,,"36,7420440, 3,0651812
",,,0,3,7h23,7h23,,Salembier, ,,,
,Comfort,,"36,7465309, 3,0643521
",,,1,2,7h28,7h28,V1,Salembier, ,,,
,Fleuriste Soumaa,,"36,5208888, 2,9155518
",,,1,1,6h30,6h30,,Soumaa, ,,,
,Chabi,,"36,5341262, 2,9151126
",,,1,1,6h35,6h35,,Soumaa, ,,,
,"Masjid Ali ben Abi talib
",,"36,5770260, 2,9066489
",,,2,2,6h50,6h50,,Soumaa, ,,,
,Pharmacie Boufarik,,"36,5789828, 2,9067029
",,,1,1,6h50,6h50,,Soumaa, ,,,
,"Bâtiments Ouled sidi Mhamed , birtouta
",,"36,6218020, 2,9578395
",,,9,9,7h10,7h10,,Soumaa, ,,,
,"Tassala el merdja , 932 logements
",,"36,6414651, 2,9473246
",,,2,2,7h20,7h20,,Soumaa, ,,,
,"1310 logements, tassala elmerdja
",,"36,6377632, 2,9466255
",,,3,5,7h25,7h25,E2,Soumaa, ,,,
,"Ben chaaban 1
",,"36,6199565, 2,8727002
",,,1,1,6h30,6h30,,Mahelma, ,,,
,"Zaatria
",,"36,6432616, 2,8678913
",,,2,2,6h40,6h40,,Mahelma, ,,,
,Quartier 23,,"36,6419767, 2,8854873
",,,5,6,6h50,6h50,G1,Mahelma, ,,,
,commissariat sidi bennour,,"36,6558948, 2,8782148
",,,0,1,6h55,6h55,,Mahelma, ,,,
,"Mahelma cimetière
",,"36,6768974, 2,8817989
",,,2,2,7h02,7h02,,Mahelma, ,,,
,"Rond point 11 décembre
",,"36,6756210, 2,8839088
",,,1,3,7h03,7h03,,Mahelma, ,,,
,"Douar mahelma
",,"36,6734151, 2,8919172
",,,2,5,7h10,7h10,P3,Mahelma, ,,,
,"Terrain tenis
",,"36,6835852, 2,8787214
",,,1,1,7h15,7h15,G1,Mahelma, ,,,
,"Station NAFTAl Belle Vue
",,"36,6867134, 2,8753512
",,,0,1,7h16,7h16,,Mahelma, ,,,
,"Sidi Abdellah université
",,"36,6941678, 2,8682390
",,,1,1,7h18,7h18,,Mahelma, ,,,
,"Arrêt de bus zeralda
",,"36,7136394, 2,8452514
",,,3,7,7h25,7h25,,Mahelma, ,,,
,"Geni zeralda
",,"36,7192870, 2,8497123
",,,0,1,7h26,7h26,V1,Mahelma, ,,,
,"La caf moul
",,"36,7320464, 2,8619096
",,,1,1,7h30,7h30,,Mahelma, ,,,
,Entrée belouta,,"36,7294650, 2,8761961
",,,1,1,7h32,7h32,,Mahelma, ,,,
,Belouta ville,,"36,7280488, 2,8889943
",,,3,3,7h35,7h35,,Mahelma, ,,,
,Belouta haouch,,"36,7319959, 2,9005620
",,,1,1,7h37,7h37,C1,Mahelma, ,,,
,"Bouchaoui
",,"36,7434513, 2,9146838
",,,4,7,7h40,7h40,,Mahelma, ,,,
,"Mosquée Abi moussa El achaari
",,"36,6033322, 2,9967379
",,,0,1,6h20,6h20,A1,Ouled chebel, ,,,
,"El hajra mhamdia
",,"36,6114895, 2,9964549
",,,0,1,6h21,6h21,,Ouled chebel, ,,,
,"Poste chaibia
",,"36,6239684, 2,9902533
",,,3,4,6h40,6h40,,Ouled chebel, ,,,
,"Sidi Mhamed si lakhder
",,"36,6246669, 2,9691544
",,,1,1,6h45,6h45,,Ouled chebel,ce point est traversé par la ligne Soumaa , ,,
,"Opgi birtouta
",,"36,6441843, 2,9868808
",,,1,1,6h50,6h50,,Ouled chebel, ,,,
,"Cem soualmia
",,"36,6458750, 2,9861204
",,,2,2,6h50,6h50,,Ouled chebel, ,,,
,"Terminus Etusa
",,"36,6463823, 2,9874917
",,,2,2,6h50,6h50,,Ouled chebel, ,,,
,"APC birtouta
",,"36,6452974, 2,9917148
",,,0,1,7h05,7h05,,Ouled chebel, ,,,
,"Centre de Formation
",,"36,6429810, 2,9927522
",,,1,1,7h05,7h05,,Ouled chebel, ,,,
,"Placette birtouta
",,"36,6449055, 2,9983127
",,,3,3,7h10,7h10,,Ouled chebel, ,,,
,"Agence de voyage addech
",,"36,6460356, 3,0002258
",,,1,1,7h15,7h15,M1,Ouled chebel, ,,,
,"Pharmacie merad
",,"36,6626500, 2,9902986
",,,1,1,7h15,7h15,,Ouled chebel, ,,,
,"douar Boukhris
",,"36,6703065, 2,9836632
",,,1,1,7h20,7h20,,Ouled chebel, ,,,
,"Opgi khraicia
",,"36,6718033, 2,9816619
",,,0,1,7h20,7h20,,Ouled chebel, ,,,
,"Cimetière khraicia
",,"36,6724452, 2,9785364
",,,2,2,7h21,7h21,,Ouled chebel, ,,,
