,,,,
,Modèle,Capacité,Lignes,Nombre
,Hyundai County,29,"Alger plage, El hamiz, Ouled chebel, Soumaa, H-dey,  Bab el oued, Bouzereah 1 , Bouzereah 2, Bachdjerah, Souidania, Larbaa, Ruisseau, Khmiss el khechna ",13
,Mercedes Sprinter,23,"Ain naadja, Salembier, Oued romane, Hraoua, Tamenfoust, Oued smar",6
,Iveco ,49,"Bouinane, Sidi abdellah, Mauritania, Alger centre",4
,Isuzu Turquoise,33,"Baba hassen , Lot michel ",2
,Vanhool,54,"Douera, Fouka, Ain beniane 1, Ain beniane 2",4
,Toyota Coaster,29,"Shaoula, Blida, Zeralda, Boumerdes",4
,Higer,37,"Mahelma, Cherchell ",2
,Isuzu eco classic,26,Ain malha,1
, ,,,
, ,,,
,, ,,
