,Points de Ramassage ,Localisation Coordonnées GPS,n min,n max,temps d'arrivée,temps de départ,Population,Ligne,Distance(km)
0,Oued romane fleuriste,"[36.7422417, 2.9948409]",0,1,7h15,7h15,,Oued romane,0.0
1,Arrêt de bus sahraoui,"[36.7461768, 2.9978604]",6,6,7h20,7h20,,Oued romane,0.5476
2,Rond point ain allah,"[36.7507444, 2.9930777]",3,3,7h25,7h25,,Oued romane,0.7257
3,Bois des cars,"[36.7542342, 2.9808777]",2,3,7h27,7h27,S1,Oued romane,1.296
4,Intersection,"[36.7541839, 2.9728183]",1,1,7h29,7h29,,Oued romane,0.7317
5,Quds,"[36.7591638, 2.9632784]",2,3,7h31,7h31,,Oued romane,1.0580999999999998
6,Tribunal,"[36.7586221, 2.9597311]",2,2,7h33,7h33,,Oued romane,0.3345
7,Ammara,"[36.7572202, 2.9535031]",1,1,7h35,7h35,,Oued romane,0.5854
8,CFPA,"[36.7616388, 2.9524634]",1,2,7h37,7h37,S1,Oued romane,0.528
9,Cimetière garidi,"[36.7255707, 3.0714411]",2,3,7h00,7h00,"G1, S1",Lot michel,0.0
10,Rond point jolie vue,"[36.7221314, 3.0791431]",2,3,7h05,7h05,G1 ,Lot michel,1.3735
11,Lycée kateb Yacine,"[36.7243404, 3.0846262]",1,1,7h10,7h10,,Lot michel,0.7734
12,La provale 1,"[36.7207203, 3.0926597]",1,1,7h11,7h11,,Lot michel,1.3219
13,La provale 2,"[36.720075, 3.0933031]",2,2,7h12,7h12,,Lot michel,0.12840000000000001
14,Poste,"[36.720555, 3.0963914]",1,1,7h13,7h13,,Lot michel,0.2804
15,La placette,"[36.7208495, 3.0999181]",1,1,7h13,7h13,,Lot michel,0.317
16,Centre de formation setram,"[36.7234359, 3.1009706]",1,1,7h15,7h15,,Lot michel,0.35719999999999996
17,Stade,"[36.7292804, 3.0895296]",1,1,7h17,7h17,,Lot michel,1.2683
18,Ens,"[36.7297678, 3.0751597]",1,1,7h20,7h20,,Lot michel,2.1197
19,Arrêt said hamdine,"[36.7340214, 3.0365543]",2,2,7h30,7h30,,Lot michel,4.708
20,Ben aknoun,"[36.7518525, 3.0056308]",2,2,7h40,7h40,,Lot michel,4.3326
21,Hôpital mouzaia,"[36.4679517, 2.6869089]",2,2,6h00,6h00,,Blida,0.0
22,Protection civile,"[36.4617824, 2.747964]",2,2,6h10,6h10,,Blida,9.0848
23,Mosquée Tarek Ibn ziad,"[36.4455312, 2.7493149]",1,1,6h20,6h20,,Blida,1.9105
24,Rond point driouech,"[36.4636281, 2.7693325]",1,1,6h30,6h30,G1,Blida,6.6529
25,Cité driouech,"[36.4561223, 2.7762033]",2,2,6h35,6h35,,Blida,1.5734000000000001
26,Pompe à essence,"[36.472189, 2.8157612]",1,1,6h40,6h40,,Blida,4.3069
27,Poste bab errahba,"[36.467194, 2.8311678]",2,2,6h45,6h45,,Blida,2.3082
28,Hôpital,"[36.4852163, 2.8328419]",1,1,6h50,6h50,,Blida,2.8165
29,Boulevard 20 mètres,"[36.4784343, 2.8191287]",1,1,6h55,6h55,,Blida,1.4904000000000002
