Points de Ramassage ,Localisation Coordonnées GPS,n max,Ligne,,,,,
Oued romane fleuriste,"36.7422417, 2.9948409",1,Oued romane,,,,,
Arrêt de bus sahraoui,"36.7461768, 2.9978604",6,Oued romane,,,,,
Rond point ain allah,"36.7507444, 2.9930777",3,Oued romane,,,,,
Bois des cars,"36.7542342, 2.9808777",3,Oued romane,,,,,
Intersection,"36.7541839, 2.9728183",1,Oued romane,,,,,
Quds,"36.7591638, 2.9632784",3,Oued romane,,,,,
Tribunal,"36.7586221, 2.9597311",2,Oued romane,,,,,
Ammara,"36.7572202, 2.9535031",1,Oued romane,,,,,
CFPA,"36.7616388, 2.9524634",2,Oued romane,,,,,
Cimetière garidi,"36.7255707, 3.0714411",3,Lot michel,,,,,
Rond point jolie vue,"36.7221314, 3.0791431",3,Lot michel,,,,,
Lycée kateb Yacine,"36.7243404, 3.0846262",1,Lot michel,,,,,
La provale 1,"36.7207203, 3.0926597",1,Lot michel,,,,,
La provale 2,"36.720075, 3.0933031",2,Lot michel,,,,,
Poste,"36.720555, 3.0963914",1,Lot michel,,,,,
La placette,"36.7208495, 3.0999181",1,Lot michel,,,,,
Centre de formation setram,"36.7234359, 3.1009706",1,Lot michel,,,,,
Stade,"36.7292804, 3.0895296",1,Lot michel,,,,,
Ens,"36.7297678, 3.0751597",1,Lot michel,,,,,
Arrêt said hamdine,"36.7340214, 3.0365543",2,Lot michel,,,,,
Ben aknoun,"36.7518525, 3.0056308",2,Lot michel,,,,,
Hôpital mouzaia,"36.4679517, 2.6869089",2,Blida,,,,,
Protection civile,"36.4617824, 2.747964",2,Blida,,,,,
Mosquée Tarek Ibn ziad,"36.4455312, 2.7493149",1,Blida,,,,,
Rond point driouech,"36.4636281, 2.7693325",1,Blida,,,,,
Cité driouech,"36.4561223, 2.7762033",2,Blida,,,,,
Pompe à essence,"36.472189, 2.8157612",1,Blida,,,,,
Poste bab errahba,"36.467194, 2.8311678",2,Blida,,,,,
Hôpital,"36.4852163, 2.8328419",1,Blida,,,,,
Boulevard 20 mètres,"36.4784343, 2.8191287",1,Blida,,,,,
Rond point sidi Abdelkader,"36.4814984, 2.8099599",2,Blida,,,,,
Descente du pont,"36.4889518, 2.8228074",2,Blida,,,,,
Stade tchaker,"36.4880793, 2.8495242",1,Blida,,,,,
Ouled yaich poste,"36.4934336, 2.8580174",3,Blida,,,,,
Ben fares,"36.4960847, 2.8507382",1,Blida,,,,,
Rond point beni merad,"36.5234075, 2.8620967",3,Blida,,,,,
Gourouaou,"36.5121094, 2.8175258",1,Blida,,,,,
Cem youssef,"36.5681317, 3.1698688",1,Larbaa,,,,,
N8,"36.5586548, 3.1593338",1,Larbaa,,,,,
2024-07-05 00:00:00,"36.5526403, 3.1558935",2,Larbaa,,,,,
Bendali,"36.575691, 3.1373014",1,Larbaa,,,,,
Sidi moussa,"36.6043625, 3.0894693",2,Larbaa,,,,,
Dhimat,"36.6197308, 3.1074364",1,Larbaa,,,,,
Ben talha,"36.6505897, 3.0860082",2,Larbaa,,,,,
Baraki,"36.6637518, 3.0933605",2,Larbaa,,,,,
Baraki daira,"36.6680981, 3.0957295",2,Larbaa,,,,,
forsan,"36.674718, 3.0908124",4,Larbaa,,,,,
baba ali station de bus,"36.6722163, 3.0493961",3,Larbaa,,,,,
Haouch lgazouz,"36.6589629, 3.0081262",2,Larbaa,,,,,
Golf  k luxe ptt,"36.7438626759495, 3.0507917678712304",2,Salembier,,,,,
Rond point presidence,"36.7471711, 3.0508327",3,Salembier,,,,,
Agence Nationale des Activités Minières,"36.7476872, 3.0542425",1,Salembier,,,,,
Saada clinique,"36.7442992, 3.0598855",1,Salembier,,,,,
Serir rond point,"36.742044, 3.0651812",3,Salembier,,,,,
Comfort,"36.7465309, 3.0643521",2,Salembier,,,,,
Fleuriste Soumaa,"36.5208888, 2.9155518",1,Soumaa,,,,,
Chabi,"36.5341262, 2.9151126",1,Soumaa,,,,,
"Masjid Ali ben Abi talib
","36.577026, 2.9066489",2,Soumaa,,,,,
Pharmacie Boufarik,"36.5789828, 2.9067029",1,Soumaa,,,,,
"Bâtiments Ouled sidi Mhamed , birtouta
","36.621802, 2.9578395",9,Soumaa,,,,,
"Tassala el merdja , 932 logements
","36.6414651, 2.9473246",2,Soumaa,,,,,
"1310 logements, tassala elmerdja
","36.6377632, 2.9466255",5,Soumaa,,,,,
"Ben chaaban 1
","36.6199565, 2.8727002",1,Mahelma,,,,,
"Zaatria
","36.6432616, 2.8678913",2,Mahelma,,,,,
Quartier 23,"36.6419767, 2.8854873",6,Mahelma,,,,,
commissariat sidi bennour,"36.6558948, 2.8782148",1,Mahelma,,,,,
"Mahelma cimetière
","36.6768974, 2.8817989",2,Mahelma,,,,,
"Rond point 11 décembre
","36.675621, 2.8839088",3,Mahelma,,,,,
"Douar mahelma
","36.6734151, 2.8919172",5,Mahelma,,,,,
"Terrain tenis
","36.6835852, 2.8787214",1,Mahelma,,,,,
"Station NAFTAl Belle Vue
","36.6867134, 2.8753512",1,Mahelma,,,,,
"Sidi Abdellah université
","36.6941678, 2.868239",1,Mahelma,,,,,
"Arrêt de bus zeralda
","36.7136394, 2.8452514",7,Mahelma,,,,,
"Geni zeralda
","36.719287, 2.8497123",1,Mahelma,,,,,
"La caf moul
","36.7320464, 2.8619096",1,Mahelma,,,,,
Entrée belouta,"36.729465, 2.8761961",1,Mahelma,,,,,
Belouta ville,"36.7280488, 2.8889943",3,Mahelma,,,,,
Belouta haouch,"36.7319959, 2.900562",1,Mahelma,,,,,
"Bouchaoui
","36.7434513, 2.9146838",7,Mahelma,,,,,
"Mosquée Abi moussa El achaari
","36.6033322, 2.9967379",1,Ouled chebel,,,,,
"El hajra mhamdia
","36.6114895, 2.9964549",1,Ouled chebel,,,,,
"Poste chaibia
","36.6239684, 2.9902533",4,Ouled chebel,,,,,
"Sidi Mhamed si lakhder
","36.6246669, 2.9691544",1,Ouled chebel,,,,,
"Opgi birtouta
","36.6441843, 2.9868808",1,Ouled chebel,,,,,
"Cem soualmia
","36.645875, 2.9861204",2,Ouled chebel,,,,,
"Terminus Etusa
","36.6463823, 2.9874917",2,Ouled chebel,,,,,
"APC birtouta
","36.6452974, 2.9917148",1,Ouled chebel,,,,,
"Centre de Formation
","36.642981, 2.9927522",1,Ouled chebel,,,,,
"Placette birtouta
","36.6449055, 2.9983127",3,Ouled chebel,,,,,
"Agence de voyage addech
","36.6460356, 3.0002258",1,Ouled chebel,,,,,
"Pharmacie merad
","36.66265, 2.9902986",1,Ouled chebel,,,,,
"douar Boukhris
","36.6703065, 2.9836632",1,Ouled chebel,,,,,
"Opgi khraicia
","36.6718033, 2.9816619",1,Ouled chebel,,,,,
